id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60
1419521406531816861,690577772,11.0,11.0,41.14547320221789,-8.605276529732498,4.0,2.0,2.0,1.0,1125,1.0,1.0,15.0,1125.0,1.0,568.5,,20,50
1419527939769767453,124407258,,,41.14778855254816,-8.590706079953002,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,0,24
1419533800789927378,124407258,,,41.14606356412836,-8.5906902202313,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,14,44
1419539923568967423,69541709,16.0,19.0,,,4.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,15,25
1419542026812279994,124407258,,,41.14651524567822,-8.589240558656858,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,0,26
1419548375798581477,124407258,,,41.14715428670502,-8.589955458004262,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,18,48
1419556386419573214,124407258,,,41.14613780134511,-8.59068817898316,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,0,25
1419797827338367369,249712678,1.0,2.0,,,4.0,1.0,2.0,2.0,90,1.0,,90.0,90.0,2.3,90.0,,1,2
1419799069075357596,75279449,16.0,16.0,41.1443533,-8.6215432,2.0,0.0,2.0,2.0,365,2.0,3.0,365.0,365.0,2.9,365.0,,0,0
1420104078987353372,124407258,,,41.14623547821464,-8.58993538706353,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,0,24
1420107482478841401,124407258,,,41.14774707966098,-8.590769300235582,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,9,39
1420113015893464636,124407258,,,41.14651929969838,-8.590411609694343,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,5,6
1420116906775208660,444283165,22.0,29.0,41.15454742507716,-8.603371912785843,4.0,2.0,2.0,1.0,31,1.0,1.0,31.0,31.0,1.0,31.0,,24,45
1420145486389163099,694984640,2.0,2.0,,,6.0,3.0,3.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,3,3
1420158177560084783,694984640,2.0,2.0,,,5.0,2.0,2.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,6,12
1420158382983505636,553292776,4.0,4.0,41.14161,-8.60289,2.0,1.0,1.0,3.0,365,3.0,3.0,365.0,365.0,3.0,365.0,,13,24
1420167210713861709,235438978,,,41.15522792782268,-8.604142531395997,2.0,1.0,1.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,127.7,,24,50
1420168110126934826,235438978,,,41.15647,-8.60595,2.0,1.0,1.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,400.1,,14,44
1420171710368854782,235438978,,,41.15545,-8.60409,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,1,1
1420171894803528012,235438978,,,41.15507,-8.60441,2.0,1.0,1.0,1.0,1125,1.0,3.0,1.0,1125.0,2.2,326.6,,10,40
1420171986622813622,235438978,,,41.15474,-8.60586,2.0,1.0,1.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,199.6,,12,42
1420184256505418069,235438978,,,41.15475,-8.6049,2.0,1.0,1.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,148.2,,17,45
1420213710226260518,124407258,,,41.14738809418555,-8.588759403817127,1.0,1.0,1.0,,365,,,365.0,365.0,,365.0,,5,5
1420216327188020464,124407258,,,41.14804749544292,-8.58892958635822,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,5,5
1420219655105680482,124407258,,,41.14801560983666,-8.589365267395095,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,8,8
1420223175930156271,124407258,,,41.14575567751002,-8.588949860617378,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,8,38
1420226196844890458,235438978,,,41.15674,-8.60453,2.0,1.0,1.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,207.0,,16,46
1420227522126707135,124407258,,,41.14665,-8.59017,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,5,5
1420231245525060269,124407258,,,41.15526169919846,-8.599239905731258,5.0,,6.0,,90,,,90.0,90.0,,90.0,,30,60
1420231340898637398,235438978,,,41.1559,-8.60415,2.0,1.0,1.0,1.0,1125,1.0,3.0,1.0,1125.0,2.3,207.0,,17,47
